HaloId,GrpId,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,MassRatio,Prog
34764,14,6,12,50307485111,100157,36674,-1,1
33884,15,7,12,35572359374,66667,25591,7.017881481,1
3982,103,7,12,5068817345,8247,3687,7.017881481,0
73576,17,8,12,28585602555,52947,20451,-1,1
32399,105,8,12,4567858107,7251,3357,-1,0
43961,22,9,12,21735437914,41129,15333,-1,1
28735,99,9,12,4397103485,7021,3217,-1,0
20367,21,10,12,19703272909,36257,13955,-1,1
8842,96,10,12,4325164755,6712,3203,-1,0
49104,17,11,12,18937948421,33305,13573,-1,1
25786,91,11,12,3725198238,5847,2736,-1,0
67530,14,12,12,19226094765,32021,13999,-1,1
2258,92,12,12,3364360295,5410,2438,-1,0
61407,12,13,12,14099722261,21132,10558,-1,1
76470,19,14,12,4957251935,7206,3743,-1,1
19576,13,1,13,62262239337,171068,44342,-1,1
55545,13,2,13,61644004608,169008,43872,-1,1
80888,12,3,13,59474157814,157124,42404,-1,1
21929,11,4,13,57459243421,145756,41058,-1,1
2710,9,5,13,55591586541,135567,39835,-1,1
49638,9,6,13,54572566978,126127,39306,-1,1
23446,9,7,13,49799352556,104962,36066,-1,1
32259,9,8,13,45671391437,92116,33123,-1,1
8326,9,9,13,40988453273,77796,29822,-1,1
28490,10,10,13,37694282654,67054,27621,-1,1
14909,9,11,13,33536277075,56605,24743,-1,1
56127,10,12,13,30731722760,50270,22782,-1,1
29501,11,13,13,17837831436,27411,13316,-1,1
44005,11,14,13,11047452809,15886,8404,-1,1
21973,10,15,13,6834969755,9256,5297,-1,1
45070,12,16,13,3313290431,4315,2593,-1,1
12360,14,1,14,83984957223,167826,60800,-1,1
3787,14,2,14,83427959663,164961,60401,-1,1
30807,13,3,14,82952132406,153137,60527,-1,1
74219,12,4,14,81009148956,142862,59545,-1,1
60919,11,5,14,76608891688,130561,56463,-1,1
48860,11,6,14,70661971236,117207,52193,-1,1
71384,17,7,14,34341596383,57443,25227,1.634629955,1
66608,34,7,14,21008789343,33316,15512,1.634629955,0
10096,19,8,14,31417906763,50805,23199,-1,1
15817,30,8,14,22450964870,32982,17021,-1,0
31191,19,9,14,26660907740,40806,19970,-1,1
15197,34,9,14,19624162380,27674,15056,-1,0
12194,22,10,14,23586250513,35656,17689,-1,1
