NowGroup,NowHalo,CurrentTime,CurrentGrp,CurrentHalo,NextGrp,NextHalo,SharedParticleCount,SharedDarkParticleCount
43,17460,12,54,59251,44,45377,5369,3296
20,17598,1,20,17598,20,5834,80309,32816
20,17598,2,20,5834,21,15402,73425,30632
20,17598,3,21,15402,21,76869,68741,29268
20,17598,4,21,76869,21,25640,63983,27511
20,17598,5,21,25640,20,40091,59462,25716
20,17598,6,20,40091,22,23681,48108,20906
20,17598,7,22,23681,22,9126,42468,19033
20,17598,8,22,9126,23,31566,37463,17529
20,17598,9,23,31566,19,38422,34765,17254
20,17598,10,19,38422,14,31901,31660,16490
20,17598,11,14,31901,16,45888,28339,15454
20,17598,12,16,45888,33,233,6908,3918
20,17598,12,16,45888,46,50122,6041,3526
53,17832,1,53,17832,52,8271,25579,14963
53,17832,2,52,8271,55,44110,23442,13957
53,17832,3,55,44110,57,25649,20643,12708
53,17832,4,57,25649,60,77451,15761,9849
53,17832,5,60,77451,63,65354,14996,9082
53,17832,6,63,65354,84,47984,6119,4050
153,17843,1,153,17843,153,50987,5132,3199
153,17843,2,153,50987,160,75408,4591,2968
153,17843,3,160,75408,181,47640,3937,2521
93,18049,1,93,18049,94,41225,9952,6566
93,18049,2,94,41225,94,18632,9445,6248
93,18049,3,94,18632,99,73158,9380,6225
93,18049,4,99,73158,94,60049,9394,6218
93,18049,5,94,60049,95,76747,9677,6297
93,18049,6,95,76747,86,778,8702,5749
93,18049,7,86,778,87,15262,7797,5178
93,18049,8,87,15262,90,59396,6849,4603
93,18049,9,90,59396,103,61355,4642,3151
116,18251,1,116,18251,117,15153,7420,4308
116,18251,2,117,15153,114,51617,7012,4076
116,18251,3,114,51617,118,65927,6792,3850
116,18251,4,118,65927,118,16463,6418,3668
116,18251,5,118,16463,132,17589,5831,3329
123,18488,1,123,18488,125,66462,6862,4748
123,18488,2,125,66462,127,16999,6393,4409
123,18488,3,127,16999,130,58239,6280,4271
123,18488,4,130,58239,127,52070,6216,4134
123,18488,5,127,52070,118,61597,6261,4155
123,18488,6,118,61597,115,26994,5989,3910
123,18488,7,115,26994,115,30961,6087,3985
123,18488,8,115,30961,120,37250,4826,3112
146,18499,1,146,18499,147,73370,5400,2826
146,18499,2,147,73370,146,55516,4887,2646
176,18840,1,176,18840,174,36670,4133,3080
176,18840,2,174,36670,184,3891,3774,2813
176,18840,3,184,3891,203,5855,3504,2591
193,19462,1,193,19462,193,52602,3702,3012
193,19462,2,193,52602,194,53467,3483,2840
193,19462,3,194,53467,209,10124,3323,2745
13,19576,1,13,19576,13,55545,168274,43622
13,19576,2,13,55545,12,80888,153141,40153
13,19576,3,12,80888,11,21929,142187,39127
13,19576,4,11,21929,9,2710,132101,37757
13,19576,5,9,2710,9,49638,122343,37110
13,19576,6,9,49638,9,23446,99424,32746
13,19576,7,9,23446,9,32259,88408,30735
13,19576,8,9,32259,9,8326,73813,27022
13,19576,9,9,8326,10,28490,64715,25955
13,19576,10,10,28490,9,14909,54437,23282
13,19576,11,9,14909,10,56127,48343,21563
13,19576,12,10,56127,11,29501,26061,12567
