nowGroup,grpID,timeStep,mass,totalParticles,HI,prog,massRatio
31077,30308,3,6830729.387,21,0,0,-1
31077,52913,5,1695364.691,5,0,0,-1
31077,14977,7,2034437.63,6,0,0,-1
31077,14875,7,7459604.642,22,0,0,-1
31077,38319,4,4068875.259,12,0,0,-1
31077,29206,2,678145.8766,2,0,0,-1
31077,15453,6,5425167.012,16,0,0,-1
31077,30166,4,4.27E+08,1309,10.70416199,0,-1
31077,29480,2,5086094.074,15,0,0,-1
31077,29543,2,1695364.691,5,0,0,-1
31077,15319,6,2.24E+07,67,0,0,-1
31077,30196,3,7459604.642,22,0,0,-1
31077,30426,3,678145.8766,2,0,0,-1
31077,15291,6,2034437.63,6,0,0,-1
31077,42267,5,339072.9383,1,0,0,-1
31077,19728,7,4747021.136,14,0,0,-1
31077,29481,2,1356291.753,4,0,0,-1
31077,42035,5,3051656.444,9,0,0,-1
31077,29203,2,1695364.691,5,0,0,-1
31077,21306,6,3729802.321,11,0,0,-1
31077,30084,4,7120531.704,21,0,0,-1
31077,30188,3,1695364.691,5,0,0,-1
31077,19542,7,1780458.929,6,4.57E-04,0,-1
31077,33786,3,5.86E+07,175,0.006597256,0,-1
31077,29751,4,1356291.753,4,0,0,-1
31077,15168,6,6.15E+07,185,0,0,-1
31077,41995,5,2373510.568,7,0,0,-1
31077,42236,5,1017218.815,3,0,0,-1
31077,32909,4,2797677.771,9,5.01E-04,0,-1
31077,14836,7,3051656.444,9,0,0,-1
31077,22550,6,678145.8766,2,0,0,-1
31077,42112,5,1695364.691,5,0,0,-1
31077,30173,3,1.77E+08,530,0.043861933,0,-1
31077,15296,6,2034437.63,6,0,0,-1
31077,30259,3,1356291.753,4,0,0,-1
31077,47957,5,678145.8766,2,0,0,-1
31077,15183,6,2712583.506,8,0,0,-1
31077,30159,3,1695364.691,5,0,0,-1
31077,15114,6,9535847.981,29,0,0,-1
31077,27277,7,1.05E+07,31,0,0,-1
31077,15148,7,8815896.395,26,0,0,-1
31077,33787,3,4407948.198,13,0,0,-1
31077,29938,4,678145.8766,2,0,0,-1
31077,29829,4,678145.8766,2,0,0,-1
31077,42084,5,3390729.383,10,0,0,-1
31077,29399,2,1017218.815,3,0,0,-1
31077,22453,7,1695364.691,5,0,0,-1
31077,14931,7,2373510.568,7,0,0,-1
